Date,SP500,AAPL,GOOG,IBM,JNJ,K,KO,MSFT,NFLX
2018-09-11,0.00374,0.0253,0.010922,0.005766,0.009515,-0.007515,-0.000897,0.016937,0.021584
2018-09-12,0.000357,-0.012428,-0.01235,0.000566,0.006112,0.01346,0.00494,0.004277,0.03939
2018-09-13,0.005282,0.024163,0.010758,0.016268,0.003806,0.004704,-0.000447,0.010693,-0.004866
2018-09-14,0.000275,-0.011349,-0.002382,-0.004176,-0.002844,0.000551,0.003353,0.004124,-0.009751
2018-09-17,-0.00557,-0.02662,-0.014055,-0.002656,0.003364,-0.001927,0.007353,-0.010894,-0.038978
2018-09-18,0.005369,0.001625,0.004472,0.004205,0.004154,-0.017926,-0.008405,0.009569,0.049379
2018-09-19,0.001253,0.000603,0.0085,0.00335,-0.000581,-0.013058,0.000446,-0.013324,-0.001877
2018-09-20,0.007841,0.007598,0.013475,0.014049,0.01082,0.005548,0.014939,0.016766,-0.00436
2018-09-21,-0.000369,-0.010759,-0.017508,0.001303,0.006322,0.005093,-0.001318,0.006061,-0.011413
2018-09-24,-0.003516,0.014362,0.006243,-0.008699,-0.016848,-0.011402,-0.010999,0.003544,0.023312
2018-09-25,-0.001305,0.006369,0.009613,-0.007463,-0.012997,-0.003275,-0.008452,-0.001942,-0.000487
2018-09-26,-0.003289,-0.007968,-0.003512,0.018101,-0.003531,-0.002714,0.003813,-0.004069,0.022873
2018-09-27,0.002763,0.020516,0.011987,-0.000684,0.000443,-0.026357,0.003352,0.003819,0.007489
2018-09-28,-7e-06,0.003553,-0.000979,-0.001916,-0.000369,0.000147,0.004009,-0.000354,-0.017283
2018-10-01,0.003641,0.006722,0.001542,0.011792,0.011,-0.001912,0.000887,0.010798,0.019512
2018-10-02,-0.000397,0.008859,0.004016,0.004946,0.005696,0.007664,0.005984,-0.00394,-0.011247
2018-10-03,0.000711,0.012178,0.002366,-0.003439,-0.01031,-0.024865,-0.013659,0.000176,-0.000239
2018-10-04,-0.00817,-0.017568,-0.028896,-0.012517,0.002274,0.00675,-0.000447,-0.020744,-0.035539
2018-10-05,-0.005528,-0.016241,-0.009279,-0.015074,-0.001757,0.003576,0.00067,-0.005834,-0.033824
2018-10-08,-0.000395,-0.0023,-0.007241,-0.004243,0.002053,0.012619,0.012952,-0.011376,-0.006404
2018-10-09,-0.001418,0.013834,-0.008834,-0.007755,-0.00139,-0.018033,-0.001984,0.012694,0.018934
2018-10-10,-0.032864,-0.046332,-0.050579,-0.030909,-0.010552,-0.003732,-0.015242,-0.054288,-0.083832
2018-10-11,-0.020573,-0.008791,-0.001757,-0.025719,-0.028216,-0.016185,-0.022656,-0.002384,-0.014698
2018-10-12,0.014206,0.035711,0.028499,0.013125,0.000229,0.004874,0.000918,0.034506,0.05749
2018-10-15,-0.005905,-0.021407,-0.016062,0.001987,0.00061,0.010611,0.005045,-0.017925,-0.018936
2018-10-16,0.021496,0.022062,0.026578,0.028282,0.019493,0.017099,0.013005,0.031612,0.039834
2018-10-17,-0.000253,-0.004326,-0.004985,-0.076297,0.021211,-0.002802,0.008108,-0.002645,0.052829
2018-10-18,-0.014392,-0.023372,-0.024846,-0.026063,0.000293,-0.001331,-0.005585,-0.019934,-0.049328
2018-10-19,-0.000361,0.01522,0.007804,-0.011117,-0.003217,0.023101,0.015951,0.001493,-0.040495
2018-10-22,-0.004299,0.006089,0.004287,0.007147,-0.002714,-0.008105,-0.007961,0.00885,-0.009409
2018-10-23,-0.005512,0.009445,0.002298,0.009089,0.001839,0.008318,0.008694,-0.013944,0.010985
2018-10-24,-0.030864,-0.034293,-0.048003,-0.03042,-0.010498,0.003907,0.007956,-0.053474,-0.094039
2018-10-25,0.018625,0.021871,0.042695,-0.00603,0.007271,-0.012686,-0.004824,0.058474,0.036577
2018-10-26,-0.017327,-0.015926,-0.021998,-0.013118,-0.010828,-0.019711,-0.012558,-0.012339,-0.041679
2018-10-29,-0.00656,-0.018756,-0.047962,-0.041289,0.004245,0.016384,0.011602,-0.02915,-0.049995
2018-10-30,0.015667,0.005005,0.015812,-0.035442,0.023209,0.022274,0.025143,-0.001072,0.003405
2018-10-31,0.010851,0.026039,0.039143,0.00027,-0.005363,-0.088733,0.005379,0.029667,0.055876
2018-11-01,0.010558,0.015393,-0.006287,0.012125,0.005902,-0.022652,-0.002996,-0.00834,0.051693
2018-11-02,-0.006317,-0.06633,-0.011411,-0.009939,-0.000942,-0.015612,0.005581,0.002294,-0.026089
2018-11-05,0.0056,-0.028427,-0.016733,0.038003,0.010803,0.002453,0.014301,0.012682,0.020511
2018-11-06,0.006259,0.01084,0.015114,0.025473,0.002582,0.019573,0.008628,0.001977,-0.014583
2018-11-07,0.021209,0.030335,0.035594,0.013978,0.01531,-0.00176,0.005216,0.039282,0.053597
2018-11-08,-0.002509,-0.003518,-0.010051,0.000913,0.003734,0.014103,-0.00083,-0.001808,-0.029252
2018-11-09,-0.009199,-0.019246,-0.015013,0.001245,0.000281,-0.002686,0.00727,-0.019567,-0.045452
2018-11-12,-0.019701,-0.05039,-0.025813,-0.021379,0.001965,-0.010933,0.003712,-0.024577,-0.030975
2018-11-13,-0.001482,-0.010021,-0.002484,-0.000423,-0.006444,-0.013617,-0.000205,0.000663,0.001122
2018-11-14,-0.007567,-0.028216,0.007345,-0.005337,-0.002961,-0.015105,-0.002055,-0.014199,-0.026053
2018-11-15,0.010594,0.024664,0.020169,0.010305,0.001697,0.000989,-0.000412,0.02199,0.011614
2018-11-16,0.002223,0.011061,-0.003024,0.001096,0.010306,-0.012685,0.008653,0.009396,-0.013273
2018-11-19,-0.016643,-0.039592,-0.039087,-0.010357,0.011947,-0.000667,0.006944,-0.033883,-0.05454
2018-11-20,-0.018151,-0.047787,0.005647,-0.025866,-0.008699,0.000334,-0.022515,-0.027845,-0.013378
2018-11-21,0.003043,-0.001139,0.011552,0.011704,-0.030436,0.002838,-0.013073,0.013776,-0.018166
2018-11-23,-0.006555,-0.025378,-0.013232,-0.011655,0.001652,-0.00233,0.005887,-0.000391,-0.012627
2018-11-26,0.015532,0.013517,0.024163,0.020266,0.000287,-0.003837,-0.003135,0.033056,0.010084
2018-11-27,0.003262,-0.002194,-0.004015,0.003853,0.01312,0.012058,0.010275,0.006248,0.019891
2018-11-28,0.022974,0.038477,0.040042,0.024819,0.022504,0.005626,0.006849,0.037162,0.060083
2018-11-29,-0.002183,-0.007689,0.001906,-0.0124,-0.004083,0.010532,-0.006803,-0.008345,0.021581
2018-11-30,0.008171,-0.00539,0.005633,0.023005,0.007227,0.015307,0.029058,0.006312,-0.009074
2018-12-03,0.010941,0.034888,0.010965,0.00832,-0.004692,-0.00834,-0.014119,0.010817,0.014574
2018-12-04,-0.032365,-0.043967,-0.050261,-0.029573,-0.001248,-0.021996,-0.00225,-0.031835,-0.051567
2018-12-06,-0.001522,-0.011126,0.017044,0.019025,-0.000833,-0.007607,-0.004101,0.00613,0.027422
2018-12-07,-0.02332,-0.035659,-0.030082,-0.036927,-0.003265,-0.006999,-0.005765,-0.039974,-0.062712
2018-12-10,0.001762,0.006582,0.002865,0.015011,-0.001185,-0.008894,0.003106,0.026445,0.017198
2018-12-11,-0.000356,-0.005706,0.011736,-0.002028,0.008582,0.009482,0.005987,0.009275,-0.01624
2018-12-12,0.005419,0.00275,0.011343,0.002286,0.004082,0.00218,-0.006362,0.004548,0.036032
2018-12-13,-0.0002,0.01097,-0.001673,-0.003548,0.00503,0.000837,0.004957,0.003327,0.004147
2018-12-14,-0.019087,-0.032022,-0.018646,-0.006868,-0.100363,-0.011371,-0.002672,-0.031221,-0.033258
2018-12-17,-0.020773,-0.009321,-0.024537,-0.031674,-0.029033,-0.018606,-0.0204,-0.029661,-0.01514
2018-12-18,8.6e-05,0.013037,0.011982,0.004673,0.009889,-0.006549,-0.00021,0.010581,0.030974
2018-12-19,-0.015396,-0.031203,-0.005541,-0.001843,-0.021526,-0.002602,-0.008626,-0.002714,-0.015391
2018-12-20,-0.015772,-0.025252,-0.013294,-0.029277,0.005162,-0.023308,-0.00764,-0.020997,-0.023204
2018-12-21,-0.020588,-0.038892,-0.029592,-0.018477,-0.001422,0.005521,0.000642,-0.03237,-0.054455
